date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,year,month
2016-01-15,Lindi,Liwale,Lindi Region,-9.480658484,38.40694618,cereals and tubers,Maize (white),KG,actual,Retail,TZS,1000.0,0.4694,2016,1
2016-01-15,Lindi,Liwale,Lindi Region,-9.480658484,38.40694618,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1066.7,0.5007,2016,1
2016-01-15,Lindi,Liwale,Lindi Region,-9.480658484,38.40694618,cereals and tubers,Rice,KG,actual,Retail,TZS,2600.0,1.2204,2016,1
2016-01-15,Lindi,Liwale,Lindi Region,-9.480658484,38.40694618,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,2200.0,1.0327,2016,1
2016-01-15,Lindi,Liwale,Lindi Region,-9.480658484,38.40694618,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,2500.0,1.1735,2016,1
2016-01-15,Lindi,Liwale,Lindi Region,-9.480658484,38.40694618,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2500.0,1.1735,2016,1
2016-01-15,Manyara,Simanjiro,Manyara Region,-4.531523458,36.54503288,cereals and tubers,Maize (white),KG,actual,Retail,TZS,744.0,0.3492,2016,1
2016-01-15,Manyara,Simanjiro,Manyara Region,-4.531523458,36.54503288,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1000.0,0.4694,2016,1
2016-01-15,Manyara,Simanjiro,Manyara Region,-4.531523458,36.54503288,cereals and tubers,Rice,KG,actual,Retail,TZS,1977.8,0.9284,2016,1
2016-01-15,Manyara,Simanjiro,Manyara Region,-4.531523458,36.54503288,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,1500.0,0.7041,2016,1
2016-01-15,Manyara,Simanjiro,Manyara Region,-4.531523458,36.54503288,pulses and nuts,Beans (green),KG,actual,Retail,TZS,3656.6,1.7164,2016,1
2016-01-15,Manyara,Simanjiro,Manyara Region,-4.531523458,36.54503288,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,2400.0,1.1265,2016,1
2016-01-15,Manyara,Simanjiro,Manyara Region,-4.531523458,36.54503288,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2400.0,1.1265,2016,1
2016-01-15,Mara,Butiama,Mara Region,-1.713629739,34.07755485,cereals and tubers,Maize (white),KG,actual,Retail,TZS,750.0,0.352,2016,1
2016-01-15,Mara,Butiama,Mara Region,-1.713629739,34.07755485,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1200.0,0.5633,2016,1
2016-01-15,Mara,Butiama,Mara Region,-1.713629739,34.07755485,cereals and tubers,Rice,KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Mara,Butiama,Mara Region,-1.713629739,34.07755485,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Mara,Butiama,Mara Region,-1.713629739,34.07755485,pulses and nuts,Beans (green),KG,actual,Retail,TZS,4000.0,1.8776,2016,1
2016-01-15,Mara,Butiama,Mara Region,-1.713629739,34.07755485,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Mara,Butiama,Mara Region,-1.713629739,34.07755485,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Mbeya,Chunya,Mbeya Region,-8.228221706,33.35152931,cereals and tubers,Maize (white),KG,actual,Retail,TZS,717.3,0.3367,2016,1
2016-01-15,Mbeya,Chunya,Mbeya Region,-8.228221706,33.35152931,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1200.0,0.5633,2016,1
2016-01-15,Mbeya,Chunya,Mbeya Region,-8.228221706,33.35152931,cereals and tubers,Rice,KG,actual,Retail,TZS,1966.7,0.9232,2016,1
2016-01-15,Mbeya,Chunya,Mbeya Region,-8.228221706,33.35152931,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,1800.0,0.8449,2016,1
2016-01-15,Mbeya,Chunya,Mbeya Region,-8.228221706,33.35152931,pulses and nuts,Beans (green),KG,actual,Retail,TZS,3775.3,1.7721,2016,1
2016-01-15,Mbeya,Chunya,Mbeya Region,-8.228221706,33.35152931,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,1800.0,0.8449,2016,1
2016-01-15,Mbeya,Chunya,Mbeya Region,-8.228221706,33.35152931,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Morogoro,Kilombero,Morogoro Region,-7.922830034,36.98914682,cereals and tubers,Maize (white),KG,actual,Retail,TZS,1000.0,0.4694,2016,1
2016-01-15,Morogoro,Kilombero,Morogoro Region,-7.922830034,36.98914682,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1033.3,0.485,2016,1
2016-01-15,Morogoro,Kilombero,Morogoro Region,-7.922830034,36.98914682,cereals and tubers,Rice,KG,actual,Retail,TZS,1866.7,0.8762,2016,1
2016-01-15,Morogoro,Kilombero,Morogoro Region,-7.922830034,36.98914682,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Morogoro,Kilombero,Morogoro Region,-7.922830034,36.98914682,pulses and nuts,Beans (green),KG,actual,Retail,TZS,5173.4,2.4284,2016,1
2016-01-15,Morogoro,Kilombero,Morogoro Region,-7.922830034,36.98914682,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Morogoro,Kilombero,Morogoro Region,-7.922830034,36.98914682,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Mtwara,Masasi,Mtwara Region,-10.77782596,39.11954506,cereals and tubers,Maize (white),KG,actual,Retail,TZS,1000.0,0.4694,2016,1
2016-01-15,Mtwara,Masasi,Mtwara Region,-10.77782596,39.11954506,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1300.0,0.6102,2016,1
2016-01-15,Mtwara,Masasi,Mtwara Region,-10.77782596,39.11954506,cereals and tubers,Rice,KG,actual,Retail,TZS,2262.1,1.0618,2016,1
2016-01-15,Mtwara,Masasi,Mtwara Region,-10.77782596,39.11954506,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Mtwara,Masasi,Mtwara Region,-10.77782596,39.11954506,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Mtwara,Masasi,Mtwara Region,-10.77782596,39.11954506,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2500.0,1.1735,2016,1
